datetime,open,high,low,close,volume
2025-04-09 20:30:00,157.96,171.1,157.335,168.86,2088984.0
2025-04-10 20:30:00,167.17,167.17,161.5,166.58,1221291.0
2025-04-11 20:30:00,166.58,171.255,164.14,169.68,1090810.0
2025-04-14 20:30:00,171.84,172.4,170.1625,172.28,823196.0
2025-04-15 20:30:00,171.02,172.97,169.19,169.5,881740.0
2025-04-16 20:30:00,169.82,171.21,167.18,168.15,737111.0
2025-04-17 20:30:00,169.23,172.067,169.23,170.85,625591.0
2025-04-21 20:30:00,169.68,169.85,167.19,169.03,729615.0
2025-04-22 20:30:00,170.26,175.31,170.26,174.83,1150734.0
2025-04-23 20:30:00,173.48,176.65,168.93,170.25,1633173.0
2025-04-24 20:30:00,169.0,175.25,168.26,173.62,1241483.0
2025-04-25 20:30:00,172.87,173.5,168.83,170.75,695574.0
2025-04-28 20:30:00,171.35,172.4124,168.5,170.23,932783.0
2025-04-29 20:30:00,169.82,172.83,169.565,171.72,870811.0
2025-04-30 20:30:00,170.22,171.35,168.09,171.11,766141.0
2025-05-01 20:30:00,169.88,171.45,168.825,169.41,619537.0
2025-05-02 20:30:00,172.59,172.76,170.0601,171.42,615443.0
2025-05-05 20:30:00,171.04,172.09,169.7,170.93,628472.0
2025-05-06 20:30:00,170.18,170.89,168.64,170.19,582984.0
2025-05-07 20:30:00,171.0,173.12,169.87,171.66,915348.0
2025-05-08 20:30:00,172.94,174.84,171.77,173.02,559257.0
2025-05-09 20:30:00,172.91,173.83,171.94,172.2,292583.0
2025-05-12 20:30:00,176.52,183.73,176.285,183.34,1466720.0
2025-05-13 20:30:00,182.96,183.8018,181.435,182.13,668769.0
2025-05-14 20:30:00,181.72,181.835,178.44,180.51,681719.0
2025-05-15 20:30:00,180.23,181.9,180.15,181.87,474129.0
2025-05-16 20:30:00,181.87,183.555,180.04,183.21,655398.0
2025-05-19 20:30:00,181.57,183.78,181.03,183.57,498746.0
2025-05-20 20:30:00,183.16,184.25,182.16,183.97,461018.0
2025-05-21 20:30:00,182.31,182.84,180.0,180.12,518376.0
2025-05-22 20:30:00,179.45,180.87,178.497,180.3,371223.0
2025-05-23 20:30:00,178.29,178.81,177.06,177.55,586550.0
2025-05-27 20:30:00,179.47,181.51,178.49,181.35,763414.0
