datetime,open,high,low,close,volume
2025-02-07 21:30:00,235.0,235.65,224.11,224.87,22117468.0
2025-02-10 21:30:00,227.43,235.82,227.12,235.04,23901643.0
2025-02-11 21:30:00,232.48,237.89,229.9739,235.04,18476200.0
2025-02-12 21:30:00,230.355,236.48,230.0,236.35,16397336.0
2025-02-13 21:30:00,236.06,236.95,230.7276,235.8,20962031.0
2025-02-14 21:30:00,234.53,235.74,228.9,233.04,16988777.0
2025-02-18 21:30:00,230.1,232.2,224.3001,228.53,26080547.0
2025-02-19 21:30:00,227.85,229.0653,224.4,228.73,16375487.0
2025-02-20 21:30:00,228.645,228.98,222.75,226.74,16103996.0
2025-02-21 21:30:00,225.65,227.75,215.63,218.66,24883556.0
2025-02-24 21:30:00,218.6,219.48,207.54,207.93,33050425.0
2025-02-25 21:30:00,207.0,208.6425,200.92,202.54,33100814.0
2025-02-26 21:30:00,206.91,213.54,206.0,212.94,21368302.0
2025-02-27 21:30:00,217.28,219.25,197.4,197.8,27572887.0
2025-02-28 21:30:00,195.76,201.19,193.15,199.43,39747248.0
2025-03-03 21:30:00,204.0,204.06,184.53,187.37,37435603.0
2025-03-04 21:30:00,189.215,193.95,180.48,187.48,37910477.0
2025-03-05 21:30:00,191.86,194.08,187.1,191.58,25644540.0
2025-03-06 21:30:00,181.04,186.83,177.61,179.45,56864099.0
2025-03-07 21:30:00,187.73,195.48,181.56,194.96,74528855.0
2025-03-10 20:30:00,189.6,191.978,180.43,184.45,44217115.0
2025-03-11 20:30:00,188.05,195.6155,185.345,190.09,42153248.0
2025-03-12 20:30:00,196.215,199.98,192.4527,194.23,30409728.0
2025-03-13 20:30:00,193.15,196.32,189.465,191.36,27236137.0
2025-03-14 20:30:00,196.2,197.5,193.2,195.54,25900939.0
2025-03-17 20:30:00,188.05,196.72,187.5,194.5,26830624.0
2025-03-18 20:30:00,190.44,192.89,186.9,188.67,24951025.0
2025-03-19 20:30:00,189.34,198.27,186.9,195.57,37962698.0
2025-03-20 20:30:00,191.52,193.8365,188.94,190.54,31430022.0
2025-03-21 20:30:00,188.21,192.07,187.37,191.66,43086517.0
2025-03-24 20:30:00,194.295,196.69,190.67,191.25,33180280.0
2025-03-25 20:30:00,190.885,191.6,187.68,188.26,23417250.0
2025-03-26 20:30:00,186.66,188.06,177.582,179.27,30670536.0
2025-03-27 20:30:00,177.655,178.38,170.46,171.99,32151667.0
2025-03-28 20:30:00,171.93,173.3,166.47,169.12,30391479.0
2025-03-31 20:30:00,164.485,167.94,160.62,167.43,35656449.0
2025-04-01 20:30:00,166.37,168.71,163.42,168.52,20472443.0
2025-04-02 20:30:00,166.08,173.43,165.5,172.09,19523663.0
2025-04-03 20:30:00,160.54,163.425,153.7,154.01,44354859.0
2025-04-04 20:30:00,148.17,152.8,139.1701,146.29,72302229.0
2025-04-07 20:30:00,144.49,160.43,138.1,154.14,68503505.0
2025-04-08 20:30:00,167.62,169.78,153.09,156.03,58888228.0
2025-04-09 20:30:00,160.5,187.33,157.51,185.15,72708307.0
2025-04-10 20:30:00,175.3,176.95,166.4,172.3,51212217.0
2025-04-11 20:30:00,173.62,182.66,173.31,181.94,33964143.0
2025-04-14 20:30:00,185.075,186.0,175.82,178.36,25748301.0
2025-04-15 20:30:00,179.725,182.2644,178.08,178.95,17242350.0
2025-04-16 20:30:00,170.43,176.08,166.92,174.61,34638639.0
2025-04-17 20:30:00,176.25,176.25,169.9156,170.99,22501785.0
2025-04-21 20:30:00,166.99,168.0,161.61,166.21,23469794.0
2025-04-22 20:30:00,167.43,170.52,165.2229,169.58,18504860.0
2025-04-23 20:30:00,177.78,180.45,175.82,176.91,24380470.0
2025-04-24 20:30:00,179.69,188.57,178.295,188.15,27576900.0
2025-04-25 20:30:00,186.92,193.37,186.89,192.31,21242342.0
2025-04-28 20:30:00,190.53,193.1,187.68,192.47,16385846.0
2025-04-29 20:30:00,191.72,193.25,190.1,191.17,14630015.0
2025-04-30 20:30:00,185.895,193.2,184.02,192.47,22768862.0
2025-05-01 20:30:00,198.14,201.4,196.235,197.33,24939695.0
2025-05-02 20:30:00,203.9,205.68,201.08,203.64,17766751.0
2025-05-05 20:30:00,200.25,203.2347,200.0,200.72,14025425.0
2025-05-06 20:30:00,196.44,201.91,195.94,200.09,16348806.0
2025-05-07 20:30:00,199.285,206.23,198.43,204.81,20277825.0
2025-05-08 20:30:00,208.0,211.1625,203.69,207.77,18460929.0
2025-05-09 20:30:00,209.33,209.96,206.52,208.2,13289174.0
2025-05-12 20:30:00,219.49,221.8,215.88,221.58,25437672.0
2025-05-13 20:30:00,222.0,235.28,222.0,232.42,28790536.0
2025-05-14 20:30:00,230.23,233.5,228.35,232.12,19751445.0
2025-05-15 20:30:00,230.16,234.455,228.07,232.64,18803678.0
2025-05-16 20:30:00,232.32,232.64,226.39,228.61,23094606.0
2025-05-19 20:30:00,221.85,231.2499,221.6,230.63,15355450.0
2025-05-20 20:30:00,226.49,231.77,226.34,231.68,11787156.0
2025-05-21 20:30:00,228.39,236.5,227.8301,229.73,17642941.0
2025-05-22 20:30:00,228.34,233.6899,227.43,230.53,14340230.0
2025-05-23 20:30:00,226.94,230.65,226.18,228.72,15385632.0
2025-05-27 20:30:00,232.865,236.48,231.1308,235.65,17708498.0
